Style Code,Product,Supplier Name,Sales Rep,Email,Current Supplier,Standard shipping MOQ,Economy Shipping MOQ,V4 Blanks Sea Price,V4 Blanks Air Price,Air Ship Price,Sea Ship Price,Bulk Production Timeline,Air Shipping Timeline,Sea Shipping Timeline,Weights
FP43,Terry Bandeau,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$8.00,,$8.50,$7.03,10-14 days,5 days,30 days,0.10 KGS
FP42,Terry Shirt,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$13.00,,$15.52,$12.04,10-14 days,5 days,30 days,0.40 KGS
FP41,Sherpa Fleece Jacket,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$37.00,,$40.50,$35.30,10-14 days,5 days,30 days,1.20 KGS
FP40,Full Rugby Tee,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$21.00,,$24.20,$20.07,10-14 days,5 days,30 days,0.40 KGS
FP39,Cropped Rugby Tee,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$7.61,,$7.20,$6.00,10-14 days,5 days,30 days,0.50 KGS
FP38,Mini Tee,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,85 Units,$7.50,,$5.68,$4.31,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP38,Mini Tee,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,85 Units,$7.50,,$5.10,$3.95,10-14 days (4 week MTO),10-15 days,35-40 days,
FP38,Mini Tee,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com","Current Supplier
(Temporary)",50 units - MTO and Custom Colors,85 Units,$7.50,,$5.00,$4.00,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP38,Mini Tee," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,85 Units,$7.50,,$4.84,$4.09,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP38,Mini Tee,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,85 Units,$7.50,,$4.66,$3.80,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP38,Mini Tee,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,85 Units,$7.50,,$6.90,$5.90,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP30,Beverly Ribbed Biker Shorts,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,,$12.00,,$10.00,$8.70,10-14 days,5 days,30 days,0.20 KGS
FP29,Melrose Ribbed Tank Top,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,110 Units,$8.00,,$4.90,$3.70,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP29,Melrose Ribbed Tank Top,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,110 Units,$8.00,,$4.50,$3.50,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP29,Melrose Ribbed Tank Top,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,110 Units,$8.00,,$4.68,$3.68,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP29,Melrose Ribbed Tank Top," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,110 Units,$8.00,,$3.60,$2.85,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP29,Melrose Ribbed Tank Top,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,110 Units,$8.00,,$4.66,$3.80,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP29,Melrose Ribbed Tank Top,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,110 Units,$8.00,,$6.20,$5.30,10-14 days (4 week MTO),10-15 days,35-40 days,0.15 KGS
FP28,Sunset Ribbed T-shirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,85 Units,$9.00,,$5.15,$3.95,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP28,Sunset Ribbed T-shirt,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,85 Units,$9.00,,$5.00,$4.00,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP28,Sunset Ribbed T-shirt,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,85 Units,$9.00,,$5.18,$4.18,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP28,Sunset Ribbed T-shirt," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,85 Units,$9.00,,$3.90,$3.15,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP28,Sunset Ribbed T-shirt,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,85 Units,$9.00,,$4.66,$3.80,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP28,Sunset Ribbed T-shirt,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,85 Units,$9.00,,$8.20,$7.20,10-14 days (4 week MTO),10-15 days,35-40 days,0.20 KGS
FP21,Gramercy Sweatpants,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$14.50,,$12.00,$9.35,10-14 days (4 week MTO),15 days,35-50 days,0.65 KGS
FP20,Bond Street Hoodie,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$17.20,,$13.54,$10.66,10-14 days (4 week MTO),15 days,35-50 days,0.75 KGS
FP18,Houston Crewneck Sweatshirt,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$15.20,,$9.49,$7.63,10-14 days (4 week MTO),15 days,35-50 days,0.70 KGS
FP16,Madison Shorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$10.50,,$6.44,$4.50,10-14 days (4 week MTO),15 days,35-50 days,0.40 KGS
FP102,Retro Crewneck,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$19.70,,$20.78,$16.58,10-14 days (4 week MTO),15 days,35-50 days,
FP103,Varsity Crewneck,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$19.70,,$22.78,$16.58,10-14 days (4 week MTO),15 days,35-50 days,
FP103,Varsity Crewneck,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,50 Units,$19.70,,$17,$13.50,10-14 days (4 week MTO),15 days,35-50 days,
FP103,Varsity Crewneck,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$19.70,,$19.00,$15.00,10-14 days (4 week MTO),15 days,35-50 days,
FP103,Varsity Crewneck,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,50 Units,$19.70,,$18.00,$13.40,10-14 days (4 week MTO),15 days,35-50 days,
FP104,Polka Dot Sporty Set Shorts,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$13.50,,$6.94,$5.67,14-21 days (5 week MTO),10-15 days,35-40 days,0.3 KGS
FP104,Polka Dot Sporty Set Shorts,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$13.50,,$7.70,$6.85,10-14 days (4 week MTO),10-15 days,35-40 days,0.3 KGS
FP104,Polka Dot Sporty Set Shorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$13.50,,$7.90,$6.93,10-14 days (4 week MTO),10-15 days,35-40 days,0.3 KGS
FP105,Polka Dot Basic Sporty Tee,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$11.50,,$6.50,$5.28,14-21 days (5 week MTO),10-15 days,35-40 days,0.3 KGS
FP105,Polka Dot Basic Sporty Tee,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$11.50,,$7.40,$6.20,10-14 days (4 week MTO),10-15 days,35-40 days,0.3 KGS
FP105,Polka Dot Basic Sporty Tee,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$11.50,,$10.10,$9.10,10-14 days (4 week MTO),10-15 days,35-40 days,0.3 KGS
FP106,Polka Dot Flared Pants,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$18.00,,$11.41,$9.77,14-21 days (5 week MTO),10-15 days,35-40 days,0.5 KGS
FP106,Polka Dot Flared Pants,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$18.00,,$10.50,$9.55,10-14 days (4 week MTO),10-15 days,35-40 days,0.5 KGS
FP106,Polka Dot Flared Pants,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$18.00,,$15.80,$12.80,10-14 days (4 week MTO),10-15 days,35-40 days,0.5 KGS
FP107,Leopard Print Shorts,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,50 Units,$14.00,,$13.00,$10.50,15-19 days,5 days,30 days,0.4 KGS
FP108,Leopard Print Crewneck,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,50 Units,$21.50,,$22.50,$18.00,15-19 days,5 days,30 days,0.8 KGS
FP109,Leopard Print Heavy weight Hoodie,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,50 Units,$23.50,,$25.50,$20.00,15-19 days,5 days,30 days,1 KGS
FP110,Leopard Print Heavy Weight Pants,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,50 Units,$21.00,,$23.50,$17.50,15-19 days,5 days,30 days,0.9kg
FP111,Leopard Print Heavy Weight Mockneck,Lokgatech,Wendy,wendy.fung@lokgatech.com,,50 units - MTO and Custom Colors,50 Units,$22.50,,$23.50,$18.76,15-19 days,5 days,30 days,0.9kg
FP112,Vintage Dye Heavy Weight Hoodie,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$27.50,,$26.40,$22.20,14-21 days (5 week MTO),15 days,35-50 days,0.83 KGS
FP113,Vintage Dye Heavy Weight Mockneck,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$25.75,,$23.20,$20.10,14-21 days (5 week MTO),15 days,35-50 days,0.66 KGS
FP114,Vintage Dye Heavy Weight Pants,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$25.00,,$22.18,$19.08,14-21 days (5 week MTO),15 days,35-50 days,0.71 KGS
FP115,Vintage Dye Heavy Weight Shorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$17.00,,$13.88,$11.88,14-21 days (5 week MTO),15 days,35-50 days,0.28 KGS
FP116,Off Shoulder Tank,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,70 Units,$5.00,,$5.34,$3.83,10-14 days (4 week MTO),10-15 days,35-40 days,0.16 KGS
FP116,Off Shoulder Tank,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,70 Units,$5.00,,$4.85,$3.80,10-14 days (4 week MTO),10-15 days,35-40 days,
FP116,Off Shoulder Tank,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,70 Units,$5.00,,$4.65,$3.65,10-14 days (4 week MTO),10-15 days,35-40 days,0.16 KGS
FP116,Off Shoulder Tank,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,70 Units,$5.00,,$6.70,$5.20,10-14 days (4 week MTO),10-15 days,35-40 days,0.16 KGS
FP116,Off Shoulder Tank,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,70 Units,$5.00,,$4.88,$4.10,10-14 days (4 week MTO),10-15 days,35-40 days,0.16 KGS
FP117,Off Shoulder Shirt,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,70 Units,$5.00,,$5.71,$4.05,10-14 days (4 week MTO),10-15 days,35-40 days,0.18 KGS
FP117,Off Shoulder Shirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,70 Units,$4.68,,$5.10,$4.00,10-14 days (4 week MTO),10-15 days,35-40 days,
FP117,Off Shoulder Shirt,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,70 Units,$4.68,,$4.65,$3.65,10-14 days (4 week MTO),10-15 days,35-40 days,0.18 KGS
FP117,Off Shoulder Shirt,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,70 Units,$4.68,,$6.70,$5.20,10-14 days (4 week MTO),10-15 days,35-40 days,0.18 KGS
FP117,Off Shoulder Shirt,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,70 Units,$4.68,,$4.88,$4.10,10-14 days (4 week MTO),10-15 days,35-40 days,0.18 KGS
FP118,Boston Heavyweight Color Block Hoodie,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$27.50,,$21.00,$15.50,10-14 days (4 week MTO),15 days,35-50 days,
FP119,Savannah Sweat Shorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$15.50,,$7.44,$5.55,10-14 days (4 week MTO),15 days,35-50 days,
FP120,Atlanta Sweatpants,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$20.00,,$12.86,$10.68,10-14 days (4 week MTO),15 days,35-50 days,
FP121,Hailey Scoop Tank,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$7.50,,$5.80,$4.54,10-14 days (4 week MTO),10-15 days,35-40 days,
FP121,Hailey Scoop Tank,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$7.50,,$4.68,$3.98,10-14 days (4 week MTO),10-15 days,35-40 days,
FP121,Hailey Scoop Tank,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,50 Units,$7.50,,$5.00,$4.20,10-14 days (4 week MTO),10-15 days,35-40 days,
FP121,Hailey Scoop Tank,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,50 Units,$7.50,,$5,$4.20,10-14 days (4 week MTO),10-15 days,35-40 days,
FP121,Hailey Scoop Tank,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$7.50,,$7.10,$6.10,10-14 days (4 week MTO),10-15 days,35-40 days,
FP121,Hailey Scoop Tank," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,,50 units - MTO and Custom Colors,50 Units,$7.50,,$6.12,$4.62,10-14 days (4 week MTO),10-15 days,35-40 days,
FP122, Bailey Layered Tank,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$7.50,,$5.60,$4.10,10-14 days (4 week MTO),10-15 days,35-40 days,
FP122, Bailey Layered Tank,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,50 Units,$7.50,,$5.65,$4.60,10-14 days (4 week MTO),10-15 days,35-40 days,
FP122, Bailey Layered Tank,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$7.50,,$8.00,$7.30,10-14 days (4 week MTO),10-15 days,35-40 days,
FP122, Bailey Layered Tank,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,50 Units,$7.50,,$4.80,$4.20,10-14 days (4 week MTO),10-15 days,35-40 days,
FP122, Bailey Layered Tank,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$7.50,,$4.68,$3.98,10-14 days (4 week MTO),10-15 days,35-40 days,
FP122, Bailey Layered Tank," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,,50 units - MTO and Custom Colors,50 Units,$7.50,,$6.68,$5.18,10-14 days (4 week MTO),10-15 days,35-40 days,
FP123, Denver Heavyweight Color Block Mock Neck,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$28.00,,$24.50,$16.25,10-14 days (4 week MTO),15 days,35-50 days,
FP123, Denver Heavyweight Color Block Mock Neck,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$26.00,,$27.45,$18.02,10-14 days (4 week MTO),10-15 days,35-40 days,
FP123, Denver Heavyweight Color Block Mock Neck,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$26.00,,$17.00,$12.40,10-14 days (4 week MTO),10-15 days,35-40 days,
FP123, Denver Heavyweight Color Block Mock Neck,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,50 Units,$26.00,,$18.50,$12.50,10-14 days (4 week MTO),10-15 days,35-40 days,
FP123, Denver Heavyweight Color Block Mock Neck,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$26.00,,$15.00,$11.00,10-14 days (4 week MTO),10-15 days,35-40 days,
FP124,Riley Halter Layered Tank,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$7.50,,$5.86,$4.71,10-14 days (4 week MTO),10-15 days,35-40 days,
FP124,Riley Halter Layered Tank,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,50 Units,$7.50,,$5.65,$4.60,10-14 days (4 week MTO),10-15 days,35-40 days,
FP124,Riley Halter Layered Tank,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$7.50,,$5.18,$4.30,10-14 days (4 week MTO),10-15 days,35-40 days,
FP124,Riley Halter Layered Tank,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$7.50,,$8.00,$7.00,10-14 days (4 week MTO),10-15 days,35-40 days,
FP124,Riley Halter Layered Tank,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,50 Units,$7.50,,$5,$4.20,10-14 days (4 week MTO),10-15 days,35-40 days,
FP124,Riley Halter Layered Tank," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,,50 units - MTO and Custom Colors,50 Units,$7.50,,$6.12,$4.62,10-14 days (4 week MTO),10-15 days,35-40 days,
FP129,Boston Graphic Heavyweight Hoodie,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$27.80,,$22.30,$14.50,10-14 days (4 week MTO),10-15 days,35-40 days,
FP130,Fresh Prints Chicago Graphic Heavyweight Crewneck,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$24.30,,$17.00,$12.40,10-14 days (4 week MTO),10-15 days,35-40 days,
FP131,Miami Graphic Heavyweight Shorts,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$14.58,,$11.00,$6.50,10-14 days (4 week MTO),10-15 days,35-40 days,
FP132,San Diego Graphic Heavyweight Sweatpants,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$23.40,,$18.00,$12.50,10-14 days (4 week MTO),10-15 days,35-40 days,
FP133,Fresh Prints Denver Graphic Mockneck Sweatshirt,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$25.00,,$17.00,$12.40,10-14 days (4 week MTO),10-15 days,35-40 days,
FP126,Fresh Prints Maui Cropped Zip Hoodie,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$26.30,,$20.00,$15.00,10-14 days (4 week MTO),15 days,35-50 days,
FP125,Fiji Heavyweight Zip Hoodie,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$27.90,,$21.60,$16.10,10-14 days (4 week MTO),16 days,35-50 days,
FP127,Cabo Heavyweight Low Waist Sweatpants,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$24.40,,$16.50,$11.50,10-14 days (4 week MTO),17 days,35-50 days,
FP128 ,Malibu Heavyweight Low Waist Sweatshorts,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,,$14.08,,$10.00,$6.50,10-14 days (4 week MTO),18 days,35-50 days,
FP134,Shelby Backless Halter Top,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$6.20,,$6.01,$4.62,14-21 days (5 week MTO),10-15 days,35-40 days,
FP134,Shelby Backless Halter Top,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",Current Supplier,50 units - MTO and Custom Colors,50 Units,$6.20,,$4.80,$4,14-21 days (5 week MTO),10-15 days,35-40 days,
FP134,Shelby Backless Halter Top,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,,50 units - MTO and Custom Colors,50 Units,$6.20,,$5.00,$3.90,14-21 days (5 week MTO),10-15 days,35-40 days,
FP134,Shelby Backless Halter Top,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$6.20,,$7.10,$6.10,14-21 days (5 week MTO),10-15 days,35-40 days,
FP134,Shelby Backless Halter Top,"Dongguan Jushang Apparel Co., Ltd.",Elva,elva@jusunfs.cn | +86 189 8870 6608,,50 units - MTO and Custom Colors,50 Units,$6.20,,$5.18,$4.30,14-21 days (5 week MTO),10-15 days,35-40 days,
FP134,Shelby Backless Halter Top," Dongguan Jinse Garment Co.,Ltd",Lucy,Lucy@dgjinse.com |+86 15908610719,Not Preferred,50 units - MTO and Custom Colors,50 Units,$6.20,,$6.68,$5.18,14-21 days (5 week MTO),10-15 days,35-40 days,
FP135,Lexi Drawstring Mini Skort,J Shen Clothing Co. Ltd.,Arthur,"jshenclothing@foxmail.com
POC: cherry.cheng@jshenclothing.com",,50 units - MTO and Custom Colors,50 Units,$13.20,,$10.96,$7.98,14-21 days (5 week MTO),10-15 days,35-40 days,
FP135,Lexi Drawstring Mini Skort,"Nanchang Vision Garment Co., Ltd",Pearl Qian,sales103@visionclothings.com ,Current Supplier,50 units - MTO and Custom Colors,50 Units,$13.20,,$9.35,$7.20,14-21 days (5 week MTO),10-15 days,35-40 days,
FP135,Lexi Drawstring Mini Skort,"Dongguan Maoyuan Clothing Co., Ltd.",Mike,mike@maoyuanclothing.com,,50 units - MTO and Custom Colors,50 Units,$13.20,,$10.86,$8.51,14-21 days (5 week MTO),10-15 days,35-40 days,
FP135,Lexi Drawstring Mini Skort,"Dongguan Qianlong Clothing Co., Ltd.",Abel Deng,"POC: Mr Abel Deng
Email:goodfacex214@gmail.com",,50 units - MTO and Custom Colors,50 Units,$13.20,,$7.80,$6.80,14-21 days (5 week MTO),10-15 days,35-40 days,
